"Id","SiteName","PollutionClass","PollutionType","RemediationStatus","RemediationStart","RemediationFinish","AddressLine","City","StateProvince","PostalCode","Country","Latitude","Longitude"
34,"Sunset Vista Site","Residential","Nuclear","Planned","2026-05-19","2027-03-26","5425 Chemical Ave","Sacramento","CA","95801","USA",38.5816,-121.4944
35,"Iron Park Site","Industrial","Biological","In Progress","2024-07-19","2026-01-17","3915 Chemical Ave","Boston","MA","02101","USA",42.3601,-71.0589
36,"Eagle Gardens Site","Residential","Chemical","Evaluating","","","625 Industrial Blvd","Hartford","CT","06101","USA",41.7658,-72.6734
37,"Fire Junction Site","Residential","Chemical","In Progress","2025-07-17","2026-04-07","9365 Operations St","Omaha","NE","68101","USA",41.2565,-95.9345
38,"Golden Hollow Site","Industrial","Biological","Planned","2026-04-19","2026-11-12","3901 Toxic Ave","Virginia Beach","VA","23451","USA",36.8529,-75.978
39,"Mountain Rock Site","Residential","Biological","Planned","2026-03-20","2026-11-09","3782 Industrial Blvd","Anchorage","AK","99501","USA",61.2181,-149.9003
40,"River Gardens Site","Federal","Nuclear","Evaluating","","","3623 Facility Rd","Sioux Falls","SD","57101","USA",43.5446,-96.7311
41,"Thunder Hill Site","Industrial","Chemical","In Progress","2025-11-24","2026-05-03","8239 Environmental St","Miami","FL","33101","USA",25.7617,-80.1918
42,"Earth Gardens Site","Federal","Chemical","Planned","2026-05-22","2026-11-12","5300 Factory Rd","Fargo","ND","58101","USA",46.8772,-96.7898
43,"River Brook Site","Industrial","Nuclear","Evaluating","","","4496 Processing Ln","Fresno","CA","93701","USA",36.7378,-119.7871
44,"Sky Rock Site","Industrial","Nuclear","In Progress","2024-02-19","2026-08-22","6443 Production Way","New York","NY","10001","USA",40.7505,-73.9934
45,"Lake Springs Site","Federal","Nuclear","Planned","2026-03-04","2026-11-30","2595 Factory Rd","Colorado Springs","CO","80901","USA",38.8339,-104.8214
46,"Iron Pointe Site","Residential","Chemical","Evaluating","","","253 Remediation Dr","Anchorage","AK","99501","USA",61.2181,-149.9003
47,"Ruby Cove Site","Residential","Chemical","Planned","2025-12-09","2026-05-06","7039 Remediation Dr","Omaha","NE","68101","USA",41.2565,-95.9345
48,"Pine Mill Site","Industrial","Biological","Completed","2025-02-17","2025-06-12","7946 Waste St","Kansas City","MO","64101","USA",39.0997,-94.5786
49,"Thunder Gardens Site","Industrial","Nuclear","Completed","2024-03-04","2024-10-06","9811 Chemical Ave","Columbia","SC","29201","USA",34.0007,-81.0348
50,"Earth Cove Site","Industrial","Nuclear","Completed","2024-04-27","2024-12-16","2611 Processing Ln","Raleigh","NC","27601","USA",35.7796,-78.6382
